Iteration	LogProb	NumBreakpoints	MadeMove?
0	-35.14903542662801	27	0
1	-35.14903542662801	0	0
2	-35.14903542662801	0	0
3	-35.14903542662801	0	0
4	-35.14903542662801	0	0
5	-35.14903542662801	0	0
6	-35.14903542662801	0	0
7	-35.14903542662801	0	1
8	-35.14903542662801	0	0
9	-35.14903542662801	0	0
10	-35.14903542662801	27	0
11	-34.733947226401156	0	1
12	-34.733947226401156	0	0
13	-34.733947226401156	0	0
14	-34.733947226401156	0	0
15	-34.733947226401156	0	0
16	-34.00667258326629	0	1
17	-34.00667258326629	0	0
18	-34.00667258326629	0	0
19	-34.00667258326629	0	0
20	-34.00667258326629	27	0
21	-34.00667258326629	0	0
22	-32.18273020880432	0	1
23	-32.18273020880432	0	0
24	-32.18273020880432	0	0
25	-32.18273020880432	0	0
26	-32.18273020880432	0	0
27	-32.18273020880432	0	0
28	-32.18273020880432	0	0
29	-32.18273020880432	0	0
30	-32.18273020880432	27	0
31	-32.18273020880432	0	0
32	-32.18273020880432	0	0
33	-32.18273020880432	0	1
34	-32.18273020880432	0	0
35	-32.18273020880432	0	0
36	-20.80799093172567	0	1
37	-20.80799093172567	0	1
38	-20.80799093172567	0	0
39	-20.80799093172567	0	0
40	-20.80799093172567	27	0
41	-20.80799093172567	0	0
42	-20.80799093172567	0	0
43	-20.80799093172567	0	0
44	-20.80799093172567	0	0
45	-20.80799093172567	0	0
46	-20.80799093172567	0	0
47	-20.80799093172567	0	0
48	-20.80799093172567	0	0
49	-20.80799093172567	0	0
50	-20.80799093172567	27	0
51	-20.80799093172567	0	0
52	-20.80799093172567	0	0
53	-20.80799093172567	0	0
54	-20.80799093172567	0	0
55	-20.80799093172567	0	0
56	-20.80799093172567	0	0
57	-20.80799093172567	0	0
58	-21.313988407946248	0	1
59	-21.313988407946248	0	0
60	-21.313988407946248	27	0
61	-21.313988407946248	0	0
62	-21.313988407946248	0	0
63	-21.313988407946248	0	0
64	-21.313988407946248	0	0
65	-21.313988407946248	0	0
66	-21.313988407946248	0	0
67	-21.313988407946248	0	0
68	-20.80799093172567	0	1
69	-21.214136090935433	0	1
70	-21.214136090935433	27	0
71	-21.214136090935433	0	0
72	-21.214136090935433	0	0
73	-21.214136090935433	0	0
74	-21.214136090935433	0	0
75	-21.214136090935433	0	0
76	-21.214136090935433	0	0
77	-21.214136090935433	0	0
78	-21.214136090935433	0	0
79	-21.214136090935433	0	0
80	-21.214136090935433	27	0
81	-21.214136090935433	0	0
82	-23.460938979477312	0	1
83	-23.460938979477312	0	0
84	-23.460938979477312	0	0
85	-23.460938979477312	0	0
86	-23.460938979477312	0	0
87	-23.460938979477312	0	0
88	-23.460938979477312	0	0
89	-23.460938979477312	0	0
90	-23.460938979477312	27	0
91	-20.80799093172567	0	1
92	-20.80799093172567	0	0
93	-20.80799093172567	0	0
94	-20.80799093172567	0	0
95	-20.80799093172567	0	0
96	-20.80799093172567	0	0
97	-20.80799093172567	0	0
98	-20.80799093172567	0	0
99	-20.80799093172567	0	0
100	-20.80799093172567	27	0
101	-20.80799093172567	0	0
102	-20.80799093172567	0	1
103	-20.80799093172567	0	0
104	-20.80799093172567	0	0
105	-20.80799093172567	0	0
106	-20.80799093172567	0	0
107	-20.80799093172567	0	0
108	-20.80799093172567	0	0
109	-20.80799093172567	0	0
110	-20.80799093172567	27	0
111	-20.80799093172567	0	0
112	-20.80799093172567	0	0
113	-20.80799093172567	0	0
114	-20.80799093172567	0	0
115	-20.80799093172567	0	0
116	-20.80799093172567	0	0
117	-20.80799093172567	0	0
118	-20.80799093172567	0	0
119	-20.80799093172567	0	0
120	-20.80799093172567	27	0
121	-20.80799093172567	0	1
122	-20.80799093172567	0	0
123	-20.80799093172567	0	0
